"cryptoId","start","duration","open","close","high","low","volumeUSD","source","count","average","std","positive","negative","score"
"eos","1546300800000",86400000,2.73,2.96,3.01,2.71,19022442.99,,,,,,,
"eos","1546387200000",86400000,2.96,2.75,2.96,2.66,15324761.18,,,,,,,
"eos","1546473600000",86400000,2.75,2.79,2.85,2.65,16404455.99,,,,,,,
"eos","1546560000000",86400000,2.79,2.75,2.87,2.73,9488004.86,,,,,,,
"eos","1546646400000",86400000,2.75,2.94,3.01,2.67,23802755.58,,,,,,,
"eos","1546732800000",86400000,2.94,2.83,2.96,2.75,14325524.75,,,,,,,
"eos","1546819200000",86400000,2.83,2.84,2.94,2.78,13769052.83,,,,,,,
"eos","1546905600000",86400000,2.84,2.95,3.03,2.82,19837439.15,,,,,,,
"eos","1546992000000",86400000,2.95,2.45,3.05,2.34,37175271.94,,,,,,,
"eos","1547078400000",86400000,2.45,2.44,2.5,2.37,8356131.95,,,,,,,
"eos","1547164800000",86400000,2.44,2.45,2.49,2.42,5796348.81,,,,,,,
"eos","1547251200000",86400000,2.45,2.28,2.47,2.24,9334099.39,,,,,,,
"eos","1547337600000",86400000,2.28,2.51,2.54,2.28,11315469.17,,,,,,,
"eos","1547424000000",86400000,2.51,2.42,2.52,2.37,8586399.44,,,,,,,
"eos","1547510400000",86400000,2.42,2.46,2.5,2.39,8766936.25,,,,,,,
"eos","1547596800000",86400000,2.46,2.55,2.58,2.39,11254909.03,,,,,,,
"eos","1547683200000",86400000,2.55,2.48,2.55,2.44,6064752.47,,,,,,,
"eos","1547769600000",86400000,2.48,2.5,2.59,2.48,8169787.14,,,,,,,
"eos","1547856000000",86400000,2.5,2.36,2.52,2.31,11737514.07,,,,,,,
"eos","1547942400000",86400000,2.36,2.35,2.43,2.32,8049061.86,,,,,,,
"eos","1548028800000",86400000,2.35,2.48,2.54,2.29,12324349.79,,,,,,,
"eos","1548115200000",86400000,2.48,2.46,2.51,2.43,5574094.58,,,,,,,
"eos","1548201600000",86400000,2.46,2.49,2.5,2.43,8156586.18,,,,,,,
"eos","1548288000000",86400000,2.49,2.48,2.52,2.44,6810009.85,,,,,,,
"eos","1548374400000",86400000,2.48,2.44,2.54,2.4,5821257.53,,,,,,,
"eos","1548460800000",86400000,2.44,2.38,2.47,2.34,9193449.31,,,,,,,
"eos","1548547200000",86400000,2.38,2.26,2.39,2.18,10952064.17,,,,,,,
"eos","1548633600000",86400000,2.26,2.3,2.34,2.22,6498653.5,,,,,,,
"eos","1548720000000",86400000,2.3,2.38,2.39,2.27,6496003.82,,,,,,,
"eos","1548806400000",86400000,2.38,2.36,2.42,2.32,5979208.2,,,,,,,
"eos","1548892800000",86400000,2.36,2.38,2.42,2.31,7896183.95,,,,,,,
"eos","1548979200000",86400000,2.38,2.48,2.49,2.35,6383794.84,,,,,,,
"eos","1549065600000",86400000,2.48,2.4,2.49,2.37,5611777,,,,,,,
"eos","1549152000000",86400000,2.4,2.42,2.46,2.39,4153050.86,,,,,,,
"eos","1549238400000",86400000,2.42,2.42,2.43,2.37,2716254.4,,,,,,,
"eos","1549324800000",86400000,2.42,2.38,2.43,2.31,5065638.67,,,,,,,
"eos","1549411200000",86400000,2.38,2.37,2.4,2.35,3232070.52,,,,,,,
"eos","1549497600000",86400000,2.37,2.77,2.85,2.36,20453047.54,,,,,,,
"eos","1549584000000",86400000,2.77,2.81,2.87,2.71,5741088.91,,,,,,,
"eos","1549670400000",86400000,2.81,2.89,2.9,2.69,8907133.55,,,,,,,
"eos","1549756800000",86400000,2.89,2.78,2.91,2.76,6434944.58,,,,,,,
"eos","1549843200000",86400000,2.78,3,3.06,2.74,18988874.29,,,,,,,
"eos","1549929600000",86400000,3,2.9,3.05,2.85,12867570.6,,,,,,,
"eos","1550016000000",86400000,2.9,2.79,2.93,2.76,8244670.93,,,,,,,
"eos","1550102400000",86400000,2.79,2.84,2.93,2.78,7140888,,,,,,,
"eos","1550188800000",86400000,2.84,2.83,2.94,2.82,5003687.19,,,,,,,
"eos","1550275200000",86400000,2.83,2.92,2.98,2.82,10487078.16,,,,,,,
"eos","1550361600000",86400000,2.92,3.54,3.59,2.91,49545106.44,,,,,,,
"eos","1550448000000",86400000,3.54,3.6,3.88,3.53,51168329.41,,,,,,,
"eos","1550534400000",86400000,3.6,3.98,4.02,3.54,36982622.54,,,,,,,
"eos","1550620800000",86400000,3.98,3.87,4.01,3.74,21354647.94,,,,,,,
"eos","1550707200000",86400000,3.87,3.94,4,3.79,21593904.7,,,,,,,
"eos","1550793600000",86400000,3.94,4.33,4.42,3.86,31123883.62,,,,,,,
"eos","1550880000000",86400000,4.33,3.61,4.53,3.5,60230301.88,,,,,,,
"eos","1550966400000",86400000,3.61,3.63,3.79,3.35,31778087.58,,,,,,,
"eos","1551052800000",86400000,3.63,3.51,3.64,3.37,20730412.22,,,,,,,
"eos","1551139200000",86400000,3.51,3.58,3.64,3.4,18633725.51,,,,,,,
"eos","1551225600000",86400000,3.58,3.57,3.71,3.53,16553719.14,,,,,,,
"eos","1551312000000",86400000,3.57,3.54,3.77,3.48,15415938.35,,,,,,,
"eos","1551398400000",86400000,3.54,3.56,3.6,3.49,9421765.55,,,,,,,
"eos","1551484800000",86400000,3.56,3.59,3.67,3.54,6519930.9,,,,,,,
"eos","1551571200000",86400000,3.59,3.3,3.61,3.15,20679155.72,,,,,,,
"eos","1551657600000",86400000,3.3,3.84,3.87,3.27,30194013.21,,,,,,,
"eos","1551744000000",86400000,3.84,3.82,3.96,3.65,22017297.07,,,,,,,
"eos","1551830400000",86400000,3.82,3.84,3.99,3.77,17675587.93,,,,,,,
"eos","1551916800000",86400000,3.84,3.66,3.87,3.55,20033844.98,,,,,,,
"eos","1552003200000",86400000,3.66,3.83,3.9,3.65,13513418.2,,,,,,,
"eos","1552089600000",86400000,3.83,3.77,3.83,3.71,7262039.88,,,,,,,
"eos","1552176000000",86400000,3.77,3.63,3.81,3.56,15206335.03,,,,,,,
"eos","1552262400000",86400000,3.63,3.7,3.76,3.49,16850776.28,,,,,,,
"eos","1552348800000",86400000,3.7,3.64,3.73,3.55,13324449.57,,,,,,,
"eos","1552435200000",86400000,3.64,3.63,3.72,3.54,13699539.12,,,,,,,
"eos","1552521600000",86400000,3.63,3.76,3.79,3.63,14603844.19,,,,,,,
"eos","1552608000000",86400000,3.76,3.87,3.93,3.76,13568400.05,,,,,,,
"eos","1552694400000",86400000,3.87,3.82,3.88,3.8,5966175.62,,,,,,,
"eos","1552780800000",86400000,3.82,3.79,3.87,3.75,10117289.08,,,,,,,
"eos","1552867200000",86400000,3.79,3.81,3.83,3.72,10185512.28,,,,,,,
"eos","1552953600000",86400000,3.81,3.79,3.82,3.6,16547970.44,,,,,,,
"eos","1553040000000",86400000,3.79,3.68,3.8,3.59,11592765.52,,,,,,,
"eos","1553126400000",86400000,3.68,3.67,3.71,3.63,5979829.1,,,,,,,
"eos","1553212800000",86400000,3.67,3.71,3.78,3.65,4970153.5,,,,,,,
"eos","1553299200000",86400000,3.71,3.68,3.71,3.63,2898059.16,,,,,,,
"eos","1553385600000",86400000,3.68,3.68,3.73,3.62,6521820.07,,,,,,,
"eos","1553472000000",86400000,3.68,3.78,3.8,3.63,8002572.3,,,,,,,
"eos","1553558400000",86400000,3.78,4.32,4.4,3.76,46538744.3,,,,,,,
"eos","1553644800000",86400000,4.32,4.3,4.38,4.24,19733901.18,,,,,,,
"eos","1553731200000",86400000,4.3,4.38,4.47,4.26,19725530.84,,,,,,,
"eos","1553817600000",86400000,4.38,4.22,4.44,4.05,18590360.37,,,,,,,
"eos","1553904000000",86400000,4.22,4.25,4.32,4.15,7935248.68,,,,,,,
"eos","1553990400000",86400000,4.25,4.25,4.32,4.2,8813623.36,,,,,,,
"eos","1554076800000",86400000,4.25,5.08,5.16,4.21,51603515.23,,,,,,,
"eos","1554163200000",86400000,5.08,5.24,5.99,4.82,102511291.1,,,,,,,
"eos","1554249600000",86400000,5.24,5.1,5.37,4.9,25490017.37,,,,,,,
"eos","1554336000000",86400000,5.1,5.38,5.43,5.1,21715692.28,,,,,,,
"eos","1554422400000",86400000,5.38,5.38,5.76,5.1,33709436.36,,,,,,,
"eos","1554508800000",86400000,5.38,5.48,5.56,5.29,26421914.07,,,,,,,
"eos","1554595200000",86400000,5.48,5.57,5.68,5.29,35917488.64,,,,,,,
"eos","1554681600000",86400000,5.57,5.59,5.72,5.38,26137003.31,,,,,,,
"eos","1554768000000",86400000,5.59,5.85,6.07,5.53,52653496.34,,,,,,,
"eos","1554854400000",86400000,5.85,5.33,5.85,5.1,38385445.07,,,,,,,
"eos","1554940800000",86400000,5.33,5.39,5.5,5.1,18666802.71,,,,,,,
"eos","1555027200000",86400000,5.39,5.34,5.46,5.23,11731587.35,,,,,,,
"eos","1555113600000",86400000,5.34,5.6,5.62,5.27,11584369.15,,,,,,,
"eos","1555200000000",86400000,5.6,5.34,5.66,5.22,18373253.52,,,,,,,
"eos","1555286400000",86400000,5.34,5.55,5.57,5.32,10094411.24,,,,,,,
"eos","1555372800000",86400000,5.55,5.47,5.61,5.41,9564749.96,,,,,,,
"eos","1555459200000",86400000,5.47,5.53,5.6,5.46,13034419.06,,,,,,,
"eos","1555545600000",86400000,5.53,5.51,5.53,5.4,7133871.98,,,,,,,
"eos","1555632000000",86400000,5.51,5.47,5.56,5.42,9733411.75,,,,,,,
"eos","1555718400000",86400000,5.47,5.26,5.49,5.02,17231101.76,,,,,,,
"eos","1555804800000",86400000,5.26,5.28,5.36,5.14,14379108.13,,,,,,,
"eos","1555891200000",86400000,5.28,5.16,5.45,5.12,19797398.4,,,,,,,
"eos","1555977600000",86400000,5.16,4.83,5.19,4.63,35486279.37,,,,,,,
"eos","1556064000000",86400000,4.83,4.59,4.89,4.53,17553038.9,,,,,,,
"eos","1556150400000",86400000,4.59,4.85,4.95,4.52,18260004.54,,,,,,,
"eos","1556236800000",86400000,4.85,4.81,4.89,4.77,4540714.66,,,,,,,
"eos","1556323200000",86400000,4.83,4.88,4.95,4.7,5662164.27,,,,,,,
"eos","1556409600000",86400000,4.88,4.73,4.93,4.59,14061266.7,,,,,,,
"eos","1556496000000",86400000,4.73,5.04,5.06,4.72,10165082.56,,,,,,,
"eos","1556582400000",86400000,5.04,4.96,5.08,4.86,7058895.22,,,,,,,
"eos","1556668800000",86400000,4.96,4.97,5.02,4.84,5967791.25,,,,,,,
"eos","1556755200000",86400000,4.97,5.27,5.41,4.94,17128664.22,,,,,,,
"eos","1556841600000",86400000,5.27,5.15,5.38,4.96,12650638.21,,,,,,,
"eos","1556928000000",86400000,5.15,5.09,5.21,5.01,4532714.99,,,,,,,
"eos","1557014400000",86400000,5.09,5.11,5.2,4.85,8951859.47,,,,,,,
"eos","1557100800000",86400000,5.11,5.01,5.3,4.99,9927592.71,,,,,,,
"eos","1557187200000",86400000,5.01,5.05,5.09,4.91,7335890.19,,,,,,,
"eos","1557273600000",86400000,5.05,4.9,5.15,4.87,6077706.42,,,,,,,
"eos","1557360000000",86400000,4.9,4.84,5,4.6,13108274.06,,,,,,,
"eos","1557446400000",86400000,4.84,5.46,5.75,4.84,37559679.99,,,,,,,
"eos","1557532800000",86400000,5.46,5.34,5.73,5.23,21973304.35,,,,,,,
"eos","1557619200000",86400000,5.34,5.51,5.74,5.31,26062547.14,,,,,,,
"eos","1557705600000",86400000,5.51,6.02,6.2,5.49,39618872.43,,,,,,,
"eos","1557792000000",86400000,6.02,6.45,6.51,5.95,31580466.3,,,,,,,
"eos","1557878400000",86400000,6.45,6.49,6.93,6.28,40535964.09,,,,,,,
"eos","1557964800000",86400000,6.49,6.08,6.56,5.78,34996920.45,,,,,,,
"eos","1558051200000",86400000,6.08,5.89,6.11,5.82,7210815.72,,,,,,,
"eos","1558137600000",86400000,5.89,6.47,6.59,5.88,18420078.02,,,,,,,
"eos","1558224000000",86400000,6.47,6.26,6.49,6.02,13861697.64,,,,,,,
"eos","1558310400000",86400000,6.26,6.28,6.39,6.12,10842783.43,,,,,,,
"eos","1558396800000",86400000,6.28,5.93,6.36,5.76,21937703.03,,,,,,,
"eos","1558483200000",86400000,5.93,6.03,6.1,5.73,13904812.5,,,,,,,
"eos","1558569600000",86400000,6.03,6.42,6.61,6,23612451.64,,,,,,,
"eos","1558656000000",86400000,6.42,6.38,6.55,6.28,15516889.18,,,,,,,
"eos","1558742400000",86400000,6.38,6.96,7.05,6.21,29170274.89,,,,,,,
"eos","1558828800000",86400000,6.96,8.04,8.26,6.9,77811390,,,,,,,
"eos","1558915200000",86400000,8.04,8.1,8.23,7.66,51119573.37,,,,,,,
"eos","1559001600000",86400000,8.1,8.01,8.27,7.55,45794907.44,,,,,,,
"eos","1559088000000",86400000,8.01,7.3,8.48,6.86,84106572.12,,,,,,,
"eos","1559174400000",86400000,7.3,8.55,8.69,7.2,72222174.42,,,,,,,
"eos","1559260800000",86400000,8.55,7.71,8.62,7.48,96434604.12,,,,,,,
"eos","1559347200000",86400000,7.71,7.73,7.99,7.46,49220429.56,,,,,,,
"eos","1559433600000",86400000,7.73,6.68,7.73,6.55,66236623.88,,,,,,,
"eos","1559520000000",86400000,6.68,6.3,6.88,6.04,53824856.62,,,,,,,
"eos","1559606400000",86400000,6.3,6.43,6.54,6.17,24673346.64,,,,,,,
"eos","1559692800000",86400000,6.43,6.37,6.47,5.92,21154257.53,,,,,,,
"eos","1559779200000",86400000,6.37,6.64,6.8,6.31,24560155.4,,,,,,,
"eos","1559865600000",86400000,6.64,6.37,6.69,6.22,12509985.6,,,,,,,
"eos","1559952000000",86400000,6.37,6.15,6.5,6,15523300.99,,,,,,,
"eos","1560038400000",86400000,6.15,6.468,6.51,6.05,15095349.47,,,,,,,
"eos","1560124800000",86400000,6.468,6.335,6.509,6.143,16208200.09,,,,,,,
"eos","1560211200000",86400000,6.335,6.462,6.492,6.239,16406799.48,,,,,,,
"eos","1560297600000",86400000,6.462,6.472,6.646,6.384,18404139.85,,,,,,,
"eos","1560384000000",86400000,6.472,6.569,6.574,6.365,16348108.27,,,,,,,
"eos","1560470400000",86400000,6.569,6.913,6.968,6.547,22739550.12,,,,,,,
"eos","1560556800000",86400000,6.913,6.997,7.218,6.812,27504489.95,,,,,,,
"eos","1560643200000",86400000,6.997,7.151,7.263,6.979,18016113.1,,,,,,,
"eos","1560729600000",86400000,7.151,6.794,7.17,6.642,21165159.55,,,,,,,
"eos","1560816000000",86400000,6.794,6.883,6.976,6.764,8955212.43,,,,,,,
"eos","1560902400000",86400000,6.883,6.863,6.916,6.707,12236236.14,,,,,,,
"eos","1560988800000",86400000,6.863,7.062,7.154,6.82,22042810.13,,,,,,,
"eos","1561075200000",86400000,7.062,7.499,7.619,7.035,49786990.88,,,,,,,
"eos","1561161600000",86400000,7.499,7.265,7.631,7.189,21717786.5,,,,,,,
"eos","1561248000000",86400000,7.265,7.251,7.269,7.001,16185371.61,,,,,,,
"eos","1561334400000",86400000,7.251,7.128,7.311,6.911,23316137.77,,,,,,,
"eos","1561420800000",86400000,7.128,6.702,7.391,6.079,60485949.71,,,,,,,
"eos","1561507200000",86400000,6.702,5.887,6.752,5.554,58602678.61,,,,,,,
"eos","1561593600000",86400000,5.887,6.18,6.235,5.676,38310625.93,,,,,,,
"eos","1561680000000",86400000,6.18,6.329,6.384,5.949,18399550.44,,,,,,,
"eos","1561766400000",86400000,6.329,5.757,6.394,5.653,16557742.95,,,,,,,
"eos","1561852800000",86400000,5.757,6.049,6.084,5.559,18683590.62,,,,,,,
"eos","1561939200000",86400000,6.049,5.908,6.162,5.576,17428516.02,,,,,,,
"eos","1562025600000",86400000,5.908,6.066,6.117,5.841,13939598.08,,,,,,,
"eos","1562112000000",86400000,6.066,5.722,6.083,5.665,11206255.81,,,,,,,
"eos","1562198400000",86400000,5.722,5.762,5.893,5.686,6242860.75,,,,,,,
"eos","1562284800000",86400000,5.762,5.774,6.011,5.728,10011652.27,,,,,,,
"eos","1562371200000",86400000,5.774,5.967,6.056,5.758,6782295.93,,,,,,,
"eos","1562457600000",86400000,5.967,5.97,6.047,5.856,7977495.3,,,,,,,
"eos","1562544000000",86400000,5.97,5.895,6.032,5.839,8337193.2,,,,,,,
"eos","1562630400000",86400000,5.895,5.261,5.926,5.014,30922848.27,,,,,,,
"eos","1562716800000",86400000,5.261,4.686,5.261,4.336,32804489.41,,,,,,,
"eos","1562803200000",86400000,4.686,4.797,4.868,4.601,11369795.07,,,,,,,
"eos","1562889600000",86400000,4.797,4.741,4.811,4.562,9482547.87,,,,,,,
